casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2023-00105090,RT10N & ELMWOOD AVE,2023-12-26T20:07:00.000,12,2023,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,CCorreia,2023-00105090-002,None,None
2023-00104998,0 Block KELLEY ST,2023-12-26T13:35:59.000,12,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,SIm,2023-00104998-001,None,Larceny-theft
2023-00104950,MATHEWSON ST,2023-12-26T10:00:00.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station,2023-00104950-001,None,Larceny-theft
2023-00502859,POINT ST,2023-12-26T09:17:21.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502859-001,None,None
2023-00104723,100 Block BLACKSTONE ST,2023-12-24T21:25:00.000,12,2023,Suspicious Person,Not Used,No Violations,0,RBallinger,2023-00104723-001,None,None
2023-00104633,PINE ST & E FRANKLIN ST,2023-12-24T11:03:33.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,CHines,2023-00104633-001,None,Larceny-theft
2023-00104633,PINE ST & E FRANKLIN ST,2023-12-24T11:03:33.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,CHines,2023-00104633-002,None,None
2023-00502853,PARK ST,2023-12-24T10:44:41.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502853-001,None,Larceny-theft
2023-00104551,ELMWOOD AVE,2023-12-24T01:43:00.000,12,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,Central Station,2023-00104551-001,None,Larceny-theft
2023-00502850,CANAL ST,2023-12-24T01:34:26.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502850-001,None,None
2023-00104521,WASHINGTON ST,2023-12-24T00:23:00.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,Central Station,2023-00104521-001,None,None
2023-00104526,SPRUCE ST  &  PENN ST &  RING ST,2023-12-24T00:16:39.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,STeran,2023-00104526-001,None,Larceny-theft
2023-00104526,SPRUCE ST  &  PENN ST &  RING ST,2023-12-24T00:16:39.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,STeran,2023-00104526-002,None,None
2023-00502848,CAPITOL HILL DR,2023-12-23T22:12:14.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502848-001,None,None
2023-00502844,PARK ST,2023-12-23T21:23:08.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502844-001,None,None
2023-00502842,THAYER ST,2023-12-23T14:00:39.000,12,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,NField,2023-00502842-001,None,None
2023-00104288,GESLER ST,2023-12-23T01:35:00.000,12,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00104288-001,None,None
2023-00104222,POE ST &  BAY ST,2023-12-22T21:29:00.000,12,2023,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,DForte,2023-00104222-001,None,None
2023-00104194,CAHIR ST,2023-12-22T18:40:00.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00104194-001,None,None
2023-00104131,MECHANICS AVE,2023-12-22T15:34:00.000,12,2023,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,LSan Lucas,2023-00104131-001,None,None
2023-00104131,MECHANICS AVE,2023-12-22T15:34:00.000,12,2023,Traffic Violation,31-27-4.1,Eluding a Law Enforcement Officer with a MV in a High Speed Pursuit,1,LSan Lucas,2023-00104131-002,None,None
2023-00104111,0 Block PLEASANT VALLEY PARK,2023-12-22T13:55:24.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,EPedchenko,2023-00104111-001,None,None
2023-00502834,BENEVOLENT ST,2023-12-22T13:09:13.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502834-001,None,None
2023-00104006,MANTON AVE &  SAN SOUCI DR,2023-12-22T00:17:56.000,12,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,HViruet,2023-00104006-001,None,None
2023-00104006,MANTON AVE &  SAN SOUCI DR,2023-12-22T00:17:56.000,12,2023,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,HViruet,2023-00104006-002,None,None
2023-00104006,MANTON AVE &  SAN SOUCI DR,2023-12-22T00:17:56.000,12,2023,Weapons,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,1,HViruet,2023-00104006-003,None,None
2023-00104006,MANTON AVE &  SAN SOUCI DR,2023-12-22T00:17:56.000,12,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,HViruet,2023-00104006-004,None,None
2023-00103490,W ECHANGE ST,2023-12-19T23:52:00.000,12,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00103490-001,None,None
2023-00103455,GLOBE ST &  ALLENS AVE,2023-12-19T20:30:00.000,12,2023,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,DForte,2023-00103455-001,None,None
2023-00103438,0 Block DORRANCE,2023-12-19T19:09:26.000,12,2023,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,JAntoniou,2023-00103438-001,None,None
2023-00103167,RICHMOND ST,2023-12-18T17:26:00.000,12,2023,RI Statute Violation,36-M,DAMAGED VEHICLE,1,Central Station,2023-00103167-001,None,None
2023-00103149,MEMORIAL BLVD,2023-12-18T16:10:00.000,12,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00103149-001,None,None
2023-00103101,JOHN PARTINGTON WAY &  CARPENTER ST,2023-12-18T12:49:00.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,DSepe,2023-00103101-001,None,None
2023-00102926,0 Block TRULL ST,2023-12-17T19:15:00.000,12,2023,Stolen Property,Not Used,No Violations,0,CSimanski,2023-00102926-001,None,None
2023-00502804,1500 Block DUPONT DR,2023-12-17T12:10:24.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502804-001,None,Larceny-theft
2023-00502800,CANAL ST,2023-12-16T19:09:08.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502800-001,None,None
2023-00102620,E FRANKLIN ST  &  FRIENDSHIP ST,2023-12-16T16:15:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DWilson,2023-00102620-001,None,Larceny-theft
2023-00102620,E FRANKLIN ST  &  FRIENDSHIP ST,2023-12-16T16:15:00.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DWilson,2023-00102620-002,None,None
2023-00502795,PARK ST,2023-12-16T12:22:04.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502795-001,None,None
2023-00502793,PARK ST,2023-12-16T11:13:53.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502793-001,None,None
2023-00502792,ELM ST,2023-12-16T11:11:17.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502792-001,None,None
2023-00502791,PARK ST,2023-12-16T11:00:30.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502791-001,None,Larceny-theft
2023-00502788,200 Block CANAL ST,2023-12-16T00:54:07.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502788-001,None,None
2023-00502787,CANAL ST,2023-12-15T23:27:47.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502787-001,None,None
2023-00102172,SPRUCE STREET,2023-12-15T09:15:00.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2023-00102172-001,None,None
2023-00502770,1000 Block RING ST,2023-12-14T13:14:26.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502770-001,None,None
2023-00101704,CHALKSTONE AVE,2023-12-13T17:02:00.000,12,2023,Malicious Mischief,Not Used,No violations,0,Central Station,2023-00101704-001,None,None
2023-00101510,0 Block KELLEY ST,2023-12-12T22:21:48.000,12,2023,Alarm-Residental,Not Used,No Violations,0,BMacedo,2023-00101510-001,None,None
2023-00101396,MANTON AVE,2023-12-12T14:58:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2023-00101396-001,None,Larceny-theft
2023-00502754,PASTEUR ST,2023-12-12T08:36:44.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502754-001,None,Larceny-theft
2023-00502751,CHARLES ST,2023-12-11T18:07:51.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502751-001,None,Larceny-theft
2023-00101160,MANTON AVENUE,2023-12-11T14:03:00.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00101160-001,None,None
2023-00100850,FRIENDSHIP ST,2023-12-10T03:00:00.000,12,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,Central Station,2023-00100850-001,None,Larceny-theft
2023-00100666,SPRUCE ST,2023-12-09T17:14:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2023-00100666-001,None,Larceny-theft
2023-00100660,100 Block SABIN ST,2023-12-09T16:44:12.000,12,2023,Suspicious Person,Not Used,No Violations,0,CMain,2023-00100660-001,None,None
2023-00100517,BROADWAY  &  SERVICE 7 RD,2023-12-09T02:26:00.000,12,2023,Reckless and Eluding,Not Used,No Violations,0,JPrimiano,2023-00100517-001,None,None
2023-00100313,400 Block PARK AV,2023-12-08T15:08:00.000,12,2023,Request for Assistance,Not Used,No violations,0,TManzotti,2023-00100313-001,None,None
2023-00502729,600 Block PAWTUCKET AVE,2023-12-07T20:50:43.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502729-001,None,Larceny-theft
2023-00502728,600 Block PAWTUCKET AVE,2023-12-07T20:32:54.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502728-001,None,None
2023-00502720,0 Block WASHINGTON,2023-12-07T09:08:27.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502720-001,None,Larceny-theft
2023-00099814,PROVIDENCE,2023-12-06T17:41:00.000,12,2023,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,Central Station,2023-00099814-001,None,Larceny-theft
2023-00099800,HARTFORD AVE,2023-12-06T17:13:00.000,12,2023,Reckless and Eluding,Not Used,No Violations,0,SNoti,2023-00099800-001,None,None
2023-00502716,J PARTINGTON WAY,2023-12-06T15:09:22.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502716-001,None,None
2023-00099634,FULTON ST &  EXCHANGE ST,2023-12-06T01:31:46.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,JGuiot,2023-00099634-001,None,None
2023-00099543,ADMIRAL ST,2023-12-05T17:31:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2023-00099543-001,None,Larceny-theft
2023-00099421,0 Block KELLEY ST,2023-12-05T09:32:00.000,12,2023,Assistance Rendered,Not Used,No Violations,0,SIm,2023-00099421-001,None,None
2023-00099068,MESSER ST,2023-12-04T00:30:56.000,12,2023,Disturbance,Not Used,No Violations,0,ILiriano,2023-00099068-001,None,None
2023-00098765,EXCHANGE TER &  FRANCIS ST,2023-12-02T22:06:38.000,12,2023,Disturbance,Not Used,No Violations,0,GGenao,2023-00098765-001,None,None
2023-00098722,ATWELLS AVE &  MESSENGER ST,2023-12-02T19:13:03.000,12,2023,Disturbance,Not Used,No Violations,0,VWilcox,2023-00098722-001,None,None
2023-00098355,JOHN J PARTINGTON WAY &  WASHINGTON ST,2023-12-01T15:33:00.000,12,2023,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2,JMota,2023-00098355-001,None,None
2023-00502677,1500 Block SMITH ST,2023-11-30T19:12:04.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502677-001,None,None
2023-00098082,ELMWOOD AVE,2023-11-30T15:53:00.000,11,2023,RI Statute Violation,36-M,DAMAGED VEHICLE,1,Central Station,2023-00098082-001,None,None
2023-00502674,0 Block LOCKWOOD ST,2023-11-30T15:11:48.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502674-001,None,None
2023-00097864,600 Block MT. PLEASANT AVE. AVE,2023-11-29T18:58:50.000,11,2023,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,ABrodeur,2023-00097864-001,None,Larceny-theft
2023-00502660,W EXCHANGE ST,2023-11-29T09:34:16.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502660-001,None,None
2023-00502659,WEST EXCHANGE ST,2023-11-29T08:53:18.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502659-001,None,None
2023-00502658,W EXCHANGE ST,2023-11-28T22:35:11.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502658-001,None,Larceny-theft
2023-00502656,W EXCHANGE ST,2023-11-28T22:24:11.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502656-001,None,None
2023-00502655,WEST EXCHANGE ST,2023-11-28T21:34:25.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502655-001,None,None
2023-00097543,OCEAN ST,2023-11-28T15:11:00.000,11,2023,Property Damage,Not Used,No violations,0,Central Station,2023-00097543-001,None,None
2023-00502644,100 Block N PARK ST,2023-11-27T15:52:39.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502644-001,None,Larceny-theft
2023-00502637,100 Block COOMER HILL RD,2023-11-26T15:05:01.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502637-001,None,None
2023-00096918,ALLENS AVE,2023-11-26T00:00:00.000,11,2023,Motor Vehicle Violation,Not Used,No Violations,0,RByfield,2023-00096918-001,None,None
2023-00502633,SPRUCE ST,2023-11-25T01:23:50.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502633-001,None,Larceny-theft
2023-00096498,600 Block PLEASANT VALLEY PKY,2023-11-24T11:35:00.000,11,2023,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,GScarcello,2023-00096498-001,None,Burglary
2023-00096169,CANAL ST  &  PARK ROW ST,2023-11-22T19:12:04.000,11,2023,Traffic Violation,31-27-2.2,DUI Liqour or Drugs Resulting in Death,1,JDeschamps,2023-00096169-001,None,None
2023-00096048,CHALKSTONE AVE,2023-11-22T11:09:00.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00096048-001,None,None
2023-00096037,MELROSE ST,2023-11-22T09:58:00.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2023-00096037-001,None,None
2023-00502609,CHARLES ST,2023-11-21T20:31:02.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502609-001,None,None
2023-00095576,DEAN ST,2023-11-20T19:34:00.000,11,2023,Property Damage,Not Used,No violations,0,Central Station,2023-00095576-001,None,None
2023-00095465,DEXTER ST,2023-11-20T10:51:00.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2023-00095465-001,None,Larceny-theft
2023-00095460,0 Block LUONGO SQ,2023-11-20T10:30:00.000,11,2023,Trespass,Not Used,No Violations,0,SCooney,2023-00095460-001,None,None
2023-00095333,FRIENDSHIP ST,2023-11-19T20:10:00.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station,2023-00095333-001,None,None
2023-00502590,PARKING LOT ATWELLS & BROADWAY,2023-11-18T23:22:13.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502590-001,None,None
2023-00502583,REGENT,2023-11-18T19:02:25.000,11,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,MTroia,2023-00502583-001,None,None
2023-00094427,N MAINST & RANDALL ST,2023-11-16T19:35:00.000,11,2023,Traffic Violation,31-9-1,Driving Without Consent of Owner,1,KEndres,2023-00094427-001,None,None
2023-00094335,100 Block KENNEDY PL,2023-11-16T15:24:31.000,11,2023,Disturbance,Not Used,No Violations,0,MKelley,2023-00094335-001,None,None
2023-00094243,0 Block LOUNGO SQUARE,2023-11-16T10:01:12.000,11,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,MCamardo,2023-00094243-001,None,Motor Vehicle Theft
2023-00502561,RADCLIFFE AVE,2023-11-14T22:50:09.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502561-001,None,None
2023-00093826,0 Block PARKIS ST,2023-11-14T17:21:49.000,11,2023,Auto Towed,Not Used,Parking or MV Violation,0,NColicci,2023-00093826-001,None,None
2023-00502556,RESERVOR AVE AVE,2023-11-14T14:41:39.000,11,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,NField,2023-00502556-001,None,None
2023-00093523,400 Block PLEASANT VALLEY PKY,2023-11-13T12:26:00.000,11,2023,Defacing Property,Not Used,"Under Investigation, Offense Pending",0,GScarcello,2023-00093523-001,None,None
2023-00502542,"AVE,PROVIDENCE",2023-11-12T15:06:31.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502542-001,None,Larceny-theft
2023-00502541,SMITH ST,2023-11-12T11:13:09.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502541-001,None,None
2023-00502539,SPRUCE STREET ST,2023-11-12T08:38:18.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502539-001,None,None
2023-00093208,0 Block RUTHGLEN AVE,2023-11-12T08:08:26.000,11,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,ADeschamps,2023-00093208-001,None,Larceny-theft
2023-00093179,200 Block HIGH SERVICE AVE,2023-11-12T02:56:00.000,11,2023,"Assault,Felony",Not Used,No violations,0,JLeroux,2023-00093179-001,Aggravated Assault,None
2023-00093090,PARK ST,2023-11-11T22:53:15.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,MDuffy,2023-00093090-001,None,Larceny-theft
2023-00093085,PARK ST,2023-11-11T22:30:13.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MDuffy,2023-00093085-001,None,Larceny-theft
2023-00093053,100 Block SABIN ST,2023-11-11T20:14:00.000,11,2023,Disturbance,Not Used,No Violations,0,DAnderson,2023-00093053-001,None,None
2023-00093025,FRANCIS ST  &  AMERICAN EXPRESS PL,2023-11-11T18:29:41.000,11,2023,Traffic Violation,31-26-2,Duty to Stop in Accidents Resulting in Damage to Attended Vehicles,1,FLopez,2023-00093025-001,None,None
2023-00092994,DUDLEY ST,2023-11-11T16:21:00.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2023-00092994-001,None,None
2023-00502530,600 Block PAWTUCKET AVE AVE,2023-11-09T22:02:07.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502530-001,None,Larceny-theft
2023-00092428,SILVERLAKE AREA,2023-11-09T18:01:00.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2023-00092428-001,None,Larceny-theft
2023-00502514,ADELAIDE AVE,2023-11-06T20:28:22.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502514-001,None,None
2023-00091366,POE ST &  BAY ST,2023-11-05T23:38:00.000,11,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,MPetteruto,2023-00091366-001,None,None
2023-00502505,PARK ST,2023-11-05T11:12:47.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502505-001,None,None
2023-00091200,100 Block SABIN ST,2023-11-05T09:02:00.000,11,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,GSlater,2023-00091200-001,None,Larceny-theft
2023-00091166,100 Block SABIN ST,2023-11-05T02:15:39.000,11,2023,Suspicious Person,Not Used,No Violations,0,NLaFazia,2023-00091166-001,None,None
2023-00502504,CLIFFORD ST,2023-11-05T01:33:03.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502504-001,None,Larceny-theft
2023-00502501,UNK,2023-11-04T13:01:26.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502501-001,None,None
2023-00090730,FINANCE WAY &  FRANCIS ST,2023-11-03T20:20:00.000,11,2023,Disturbance,Not Used,No Violations,0,CSimanski,2023-00090730-001,None,None
2023-00090660,100 Block SABIN ST,2023-11-03T16:36:00.000,11,2023,Suspicious Person,Not Used,No Violations,0,ACalle,2023-00090660-001,None,None
2023-00502496,900 Block CHARLES,2023-11-03T16:06:28.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502496-001,None,Larceny-theft
2023-00502487,FRIENDSHIP STREET,2023-11-02T19:52:39.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502487-001,None,Larceny-theft
2023-00502476,STREET,2023-11-01T20:31:25.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502476-001,None,Larceny-theft
2023-00090072,BROAD ST,2023-11-01T15:52:00.000,11,2023,Suspicious Person,Not Used,No violations,0,Central Station,2023-00090072-001,None,None
2023-00090064,DYER ST,2023-11-01T15:27:00.000,11,2023,Malicious Mischief,Not Used,No violations,0,Central Station,2023-00090064-001,None,None
2023-00502472,PETTIS ST,2023-11-01T11:43:09.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502472-001,None,None
2023-00502470,BLACKSTONE ST,2023-11-01T10:48:30.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502470-001,None,Larceny-theft
2023-00089934,UNKNOWN,2023-11-01T04:35:33.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KBaxter,2023-00089934-001,None,None
2023-00089692,BELLEVUE AVE,2023-10-31T09:55:00.000,10,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00089692-001,None,None
2023-00089509,PROVIDENCE,2023-10-30T15:38:00.000,10,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00089509-001,None,None
2023-00089490,FRANCIS ST &  MEMORIAL BLVD,2023-10-30T14:27:00.000,10,2023,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,JO,2023-00089490-001,None,None
2023-00089455,ERNEST ST,2023-10-30T12:10:00.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2023-00089455-001,None,Larceny-theft
2023-00089427,0 Block ROGER WILLIAMS GRN,2023-10-30T09:13:50.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,PSaravia,2023-00089427-001,None,Larceny-theft
