casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2025-00100055,WATERMAN ST / E RIVER ST,2025-12-17T12:13:00.000,12,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,VLopez,2025-00100055-001,,
2025-00100055,WATERMAN ST / E RIVER ST,2025-12-17T12:13:00.000,12,2025,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,VLopez,2025-00100055-002,,
2025-00100055,WATERMAN ST / E RIVER ST,2025-12-17T12:13:00.000,12,2025,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,VLopez,2025-00100055-003,,
2025-00502466,LINCOLN ALMOND,2025-12-16T15:24:56.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502466-001,,
2025-00502468,TOBEY ST,2025-12-16T11:49:28.000,12,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,ADecristofano,2025-00502468-001,,Larceny-theft
2025-00502471,CATHEDRAL SQ,2025-12-16T11:27:19.000,12,2025,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,ADecristofano,2025-00502471-001,,
2025-00099820,WASHINGTON STREET,2025-12-16T11:24:00.000,12,2025,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2025-00099820-001,,
2025-00502410,331 HOPE ST,2025-12-15T17:39:28.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502410-001,,
2025-00099632,POCASSET AVE,2025-12-15T14:11:00.000,12,2025,Lost Article,Not Used,No violations,0,Central Station,2025-00099632-001,,
2025-00099557,RT 10 SOUTH / UNION AVE,2025-12-15T09:07:57.000,12,2025,Traffic Violation,31-13-4,Obedience to Traffic Control Devices,1,DHull,2025-00099557-001,,
2025-00099557,RT 10 SOUTH / UNION AVE,2025-12-15T09:07:57.000,12,2025,Traffic Violation,31-16-5,Turn Signal Required,1,DHull,2025-00099557-002,,
2025-00099557,RT 10 SOUTH / UNION AVE,2025-12-15T09:07:57.000,12,2025,Traffic Violation,31-10-27,No License on Person - Exhibited on Demand,1,DHull,2025-00099557-003,,
2025-00099557,RT 10 SOUTH / UNION AVE,2025-12-15T09:07:57.000,12,2025,Traffic Violation,31-8-2,Operation of MV When Registration Canceled,1,DHull,2025-00099557-004,,
2025-00502377,JOHNSON STREET,2025-12-15T06:11:50.000,12,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,ADecristofano,2025-00502377-001,,Larceny-theft
2025-00099402,300 BlockW RIVER ST,2025-12-14T13:49:36.000,12,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station,2025-00099402-001,,
2025-00099140,ONTARIO ST,2025-12-13T13:03:00.000,12,2025,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,HVentura,2025-00099140-001,,
2025-00502383,500 BlockS WATER ST,2025-12-12T20:54:03.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502383-001,,
2025-00098770,0 Block PLEASANT VALLEY PKY,2025-12-12T07:57:02.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2025-00098770-001,,Larceny-theft
2025-00098641,WAVERLY ST,2025-12-11T16:11:00.000,12,2025,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,CAraujo,2025-00098641-001,,
2025-00098641,WAVERLY ST,2025-12-11T16:11:00.000,12,2025,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,CAraujo,2025-00098641-002,,
2025-00098641,WAVERLY ST,2025-12-11T16:11:00.000,12,2025,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,CAraujo,2025-00098641-003,,
2025-00502402,300 BlockS MAIN ST,2025-12-10T01:38:41.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502402-001,,Larceny-theft
2025-00098203,SILVER SPRING ST,2025-12-09T20:57:00.000,12,2025,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,MLabutti,2025-00098203-001,,Larceny-theft
2025-00097924,400 Block PLEASANT VALLEY PKY,2025-12-08T19:55:00.000,12,2025,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,ELane,2025-00097924-001,,
2025-00097924,400 Block PLEASANT VALLEY PKY,2025-12-08T19:55:00.000,12,2025,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,ELane,2025-00097924-002,,
2025-00097858,SISSON ST / ALMIRA AVE,2025-12-08T16:03:00.000,12,2025,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,CBerciano,2025-00097858-001,,
2025-00502357,OFF OF PINE STREET AND PAGE ST,2025-12-07T21:42:43.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502357-001,,
2025-00097444,BURNSIDE ST / THURBERS AVE,2025-12-07T01:28:00.000,12,2025,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,JCortorreal,2025-00097444-001,,
2025-00097444,BURNSIDE ST / THURBERS AVE,2025-12-07T01:28:00.000,12,2025,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,JCortorreal,2025-00097444-002,,
2025-00097444,BURNSIDE ST / THURBERS AVE,2025-12-07T01:28:00.000,12,2025,Warrant\Capias,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,JCortorreal,2025-00097444-003,,
2025-00502362,NORTHMAIN,2025-12-06T23:43:23.000,12,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,ADecristofano,2025-00502362-001,,Larceny-theft
2025-00097305,SILVER SPRING ST.,2025-12-06T14:21:54.000,12,2025,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,Central Station,2025-00097305-001,,Larceny-theft
2025-00097226,CLIFFORD ST,2025-12-06T06:10:00.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2025-00097226-001,,Larceny-theft
2025-00097041,600 BlockN MAIN ST,2025-12-05T15:18:32.000,12,2025,Assistance Rendered,Not Used,No violations,0,PHourahan,2025-00097041-001,,
2025-00502332,RIDGE ST &  PENN ST,2025-12-04T21:39:36.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502332-001,,
2025-00096393,95  &  146,2025-12-03T12:09:56.000,12,2025,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,DHull,2025-00096393-001,,
2025-00096362,300 BlockW RIVER ST,2025-12-03T10:00:35.000,12,2025,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,Central Station,2025-00096362-001,,Larceny-theft
2025-00502322,SMITH ST,2025-12-03T00:43:34.000,12,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,ADecristofano,2025-00502322-001,,Larceny-theft
2025-00502325,SILVER SPRING ST,2025-12-02T18:16:05.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502325-001,,Larceny-theft
2025-00502326,SILVER SPRING ST,2025-12-02T17:56:11.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502326-001,,Larceny-theft
2025-00096198,400 BlockW FOUNTAIN ST,2025-12-02T16:01:49.000,12,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,CAraujo,2025-00096198-001,,Larceny-theft
2025-00096084,OAKLAND AVE,2025-12-02T07:14:00.000,12,2025,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MVoyer,2025-00096084-001,,
2025-00095995,FRANCIS ST &  MEMORIAL BLVD,2025-12-01T18:11:00.000,12,2025,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MSandorse,2025-00095995-001,,
2025-00095841,HAYES ST,2025-12-01T08:51:11.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JMadeira,2025-00095841-001,,
2025-00095814,100 Block SABIN ST,2025-12-01T02:46:48.000,12,2025,Trespass,Not Used,No violations,0,ADaCruz,2025-00095814-001,,
2025-00502287,COMSTOCK,2025-11-30T18:30:25.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,ADecristofano,2025-00502287-001,,Larceny-theft
2025-00502294,400 BlockW FOUNTAIN ST,2025-11-30T00:09:57.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,ADecristofano,2025-00502294-001,,Larceny-theft
2025-00095462,0 Block PLEASANT VALLEY PKY,2025-11-29T17:04:00.000,11,2025,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,Central Station,2025-00095462-001,,
2025-00095448,BRYANT ST,2025-11-29T16:19:00.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2025-00095448-001,,
2025-00095372,0 BlockE TRANSIT ST,2025-11-29T10:45:24.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JIkuejamofo,2025-00095372-001,,Larceny-theft
2025-00502298,900 BlockN MAIN ST,2025-11-29T03:23:21.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502298-001,,
2025-00095193,0 Block PONTIAC ST,2025-11-28T17:43:00.000,11,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,Central Station,2025-00095193-001,,
2025-00095165,ATWELLS AVE,2025-11-28T16:35:00.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2025-00095165-001,,
2025-00094907,0 Block PLEASANT VALLEY PKY,2025-11-27T14:44:00.000,11,2025,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,Central Station,2025-00094907-001,,Larceny-theft
2025-00094594,WASHINGTON ST,2025-11-26T11:22:48.000,11,2025,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,SKawejsza,2025-00094594-001,,Larceny-theft
2025-00502268,ODEN ST,2025-11-26T07:47:24.000,11,2025,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,ADecristofano,2025-00502268-001,,
2025-00094349,1100 BlockN MAIN ST,2025-11-25T13:29:38.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,IBarbosa,2025-00094349-001,,Larceny-theft
2025-00094323,FOUNTAIN ST,2025-11-25T12:08:00.000,11,2025,Lost Article,Not Used,No violations,0,Central Station,2025-00094323-001,,
2025-00094255,BURNSIDE AVE,2025-11-25T07:21:00.000,11,2025,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,GSion,2025-00094255-001,,
2025-00094255,BURNSIDE AVE,2025-11-25T07:21:00.000,11,2025,Weapons,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,2,GSion,2025-00094255-002,,
2025-00094255,BURNSIDE AVE,2025-11-25T07:21:00.000,11,2025,Weapons,11-47-3,CARRY DANG. WEAPONS/SUB WHEN IN CRIME VIOL,2,GSion,2025-00094255-003,,
2025-00502276,VERNDALE AVE,2025-11-24T16:03:17.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502276-001,,
2025-00502278,ELM ST ST,2025-11-24T13:23:57.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502278-001,,Larceny-theft
2025-00094053,800 BlockN MAIN ST,2025-11-24T12:30:03.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,DDiaz,2025-00094053-001,,Larceny-theft
2025-00502281,ELM,2025-11-24T12:16:18.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502281-001,,Larceny-theft
2025-00093956,BROADWAY / VINTON ST,2025-11-24T01:25:25.000,11,2025,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,DSchiavulli,2025-00093956-001,,
2025-00502240,CHESTNUT ST,2025-11-23T22:59:11.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502240-001,,Larceny-theft
2025-00093764,BUFFALO CT/SALVATI WAY,2025-11-23T08:17:00.000,11,2025,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,BMcParlin,2025-00093764-001,,
2025-00502245,114 HAROLD ST,2025-11-23T05:36:49.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,ADecristofano,2025-00502245-001,,Larceny-theft
2025-00093624,SACKETT ST,2025-11-22T19:04:09.000,11,2025,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,SKawejsza,2025-00093624-001,,Motor Vehicle Theft
2025-00093527,600 BlockN MAIN ST,2025-11-22T09:30:32.000,11,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,IBarbosa,2025-00093527-001,,
2025-00093498,ALLENS AVENUE,2025-11-22T04:57:00.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2025-00093498-001,,Larceny-theft
2025-00093469,1100 BlockN MAIN ST,2025-11-22T02:14:30.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JBibeault,2025-00093469-001,,Larceny-theft
2025-00093435,200 Block FOUNTAIN ST,2025-11-21T23:46:55.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,KFacey,2025-00093435-001,,Larceny-theft
2025-00093435,200 Block FOUNTAIN ST,2025-11-21T23:46:55.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KFacey,2025-00093435-002,,
2025-00093434,100 BlockN MAIN ST,2025-11-21T23:40:04.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,CSwenson,2025-00093434-001,,Larceny-theft
2025-00093434,100 BlockN MAIN ST,2025-11-21T23:40:04.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,CSwenson,2025-00093434-002,,
2025-00502255,0 BlockN MAIN ST,2025-11-21T23:21:59.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,ADecristofano,2025-00502255-001,,Larceny-theft
2025-00502261,N. MAIN,2025-11-21T09:55:05.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502261-001,,
2025-00093169,100 BlockN MAIN ST,2025-11-20T23:32:00.000,11,2025,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station,2025-00093169-001,,
2025-00092958,300 BlockW RIVER ST,2025-11-20T09:18:00.000,11,2025,"Fraud, Swindle",19-9-29,BANK FRAUD,1,Central Station,2025-00092958-001,,
2025-00092806,100 BlockW RIVER ST,2025-11-19T14:38:00.000,11,2025,Forgery,11-17-1,FORGERY AND COUNTERFEITING IN GENERAL,1,MLabutti,2025-00092806-001,,
2025-00502236,FRANCIS ST,2025-11-19T11:25:20.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,ADecristofano,2025-00502236-001,,Larceny-theft
2025-00092472,0 BlockS MAIN ST,2025-11-18T09:50:00.000,11,2025,Request for Assistance,Not Used,No violations,0,Central Station,2025-00092472-001,,
2025-00502200,VERMONT AVE,2025-11-17T21:23:06.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502200-001,,
2025-00092353,HOPE ST,2025-11-17T19:52:00.000,11,2025,Lost Article,Not Used,No violations,0,Central Station,2025-00092353-001,,
2025-00502209,MELROSE ST,2025-11-17T12:09:32.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,ADecristofano,2025-00502209-001,,Larceny-theft
2025-00502210,DEAN ST,2025-11-17T10:50:33.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,ADecristofano,2025-00502210-001,,Larceny-theft
2025-00092059,THURBERS AVE.,2025-11-16T15:31:00.000,11,2025,Lost Article,Not Used,No violations,0,Central Station,2025-00092059-001,,
2025-00091942,100 BlockN MAIN ST,2025-11-16T01:52:13.000,11,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,BJohnson,2025-00091942-001,,
2025-00091942,100 BlockN MAIN ST,2025-11-16T01:52:13.000,11,2025,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,BJohnson,2025-00091942-002,,
2025-00091942,100 BlockN MAIN ST,2025-11-16T01:52:13.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,BJohnson,2025-00091942-003,,
2025-00091942,100 BlockN MAIN ST,2025-11-16T01:52:13.000,11,2025,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,BJohnson,2025-00091942-004,,
2025-00091942,100 BlockN MAIN ST,2025-11-16T01:52:13.000,11,2025,Traffic Violation,3-8-6,Card ID Misuse,1,BJohnson,2025-00091942-005,,
2025-00091910,FOUNTAIN ST / DORRANCE ST,2025-11-15T23:54:33.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,KFacey,2025-00091910-001,,Larceny-theft
2025-00091910,FOUNTAIN ST / DORRANCE ST,2025-11-15T23:54:33.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KFacey,2025-00091910-002,,
2025-00502220,300 BlockW RIVER ST,2025-11-15T18:37:42.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,ADecristofano,2025-00502220-001,,Larceny-theft
2025-00091486,KINSLEY AVE,2025-11-14T12:11:00.000,11,2025,Lost Article,Not Used,No violations,0,Central Station,2025-00091486-001,,
2025-00091464,ACADEMY AVE,2025-11-14T10:34:00.000,11,2025,Lost Article,Not Used,No violations,0,Central Station,2025-00091464-001,,
2025-00091246,0 BlockN MAIN ST,2025-11-13T12:25:27.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,LGianfrancesco,2025-00091246-001,,Larceny-theft
2025-00502142,WEBSTER AVE,2025-11-13T00:40:27.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502142-001,,Larceny-theft
2025-00091118,SAN SOUCI DR &  MANTON AVE,2025-11-12T20:35:51.000,11,2025,Traffic Violation,31-13-4,Obedience to Traffic Control Devices,1,DHull,2025-00091118-001,,
2025-00091118,SAN SOUCI DR &  MANTON AVE,2025-11-12T20:35:51.000,11,2025,Traffic Violation,31-22-5,Violation of Safety Zone,1,DHull,2025-00091118-002,,
2025-00502146,WEST SHORE RD,2025-11-12T18:20:48.000,11,2025,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,ADecristofano,2025-00502146-001,,
2025-00091025,600 BlockN MAIN ST,2025-11-12T15:16:35.000,11,2025,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,MTueros,2025-00091025-001,,Larceny-theft
2025-00090899,0 Block PLEASANT VALLEY PKY,2025-11-12T07:10:51.000,11,2025,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,YGonzalez,2025-00090899-001,,Larceny-theft
2025-00090805,PROVIDENCE,2025-11-11T18:18:00.000,11,2025,Request for Assistance,Not Used,No violations,0,Central Station,2025-00090805-001,,
2025-00502155,WESTMINSTER ST,2025-11-11T15:48:58.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502155-001,,Larceny-theft
2025-00502160,STREET,2025-11-11T11:15:51.000,11,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,ADecristofano,2025-00502160-001,,Larceny-theft
2025-00090601,MAPLE ST,2025-11-10T19:02:00.000,11,2025,Lost Article,Not Used,No violations,0,Central Station,2025-00090601-001,,
2025-00090526,WASHINGTON ST,2025-11-10T13:10:00.000,11,2025,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,Central Station,2025-00090526-001,,Larceny-theft
2025-00502166,SPRUCE STREET ST,2025-11-09T23:17:25.000,11,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502166-001,,Larceny-theft
2025-00502167,PARK ST,2025-11-09T23:04:18.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502167-001,,
2025-00502170,300 BlockS MAIN ST,2025-11-09T13:47:59.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502170-001,,
2025-00502171,SPRUCE ST,2025-11-09T12:50:28.000,11,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502171-001,,
